Time(minutes) NodeBegin NodeEnd NrOfCars
1 206 32912944 32912938 7
1 206 32912938 34815711 7
1 206 34815711 205420004 10
1 206 205420004 34815716 5
1 206 34815716 34815715 5
1 206 34815715 88085388 0
1 206 88085388 87723371 5
1 207 32598967 32598965 61
1 207 32598965 190467928 62
1 207 190467928 32598963 63
1 207 32598963 32598961 60
1 207 32598961 32598959 62
1 207 32598959 86970182 62
1 207 86970182 32598957 46
1 207 32598957 32598955 4
1 208 32598956 207628341 14
1 208 207628341 32598958 14
1 208 32598958 86970185 15
1 208 86970185 32598960 28
1 208 32598960 32598962 28
1 208 32598962 32598964 29
1 208 32598964 190467925 30
1 208 190467925 32598966 34
1 208 32598966 32598968 34
1 209 32598968 32912958 23
1 209 32912958 32912968 23
1 209 32912968 32913060 24
1 209 32913060 32913062 24
1 209 32913062 32913065 26
1 209 32913065 32913068 30
1 209 32913068 90337052 32
1 209 90337052 32913069 36
1 209 32913069 32913071 34
1 209 32913071 32913095 4
1 210 31158788 31158799 15
1 210 31158799 31158801 15
1 210 31158801 90337055 16
1 210 90337055 31158803 42
1 210 31158803 31158804 42
1 210 31158804 32913105 43
1 210 32913105 32913106 31
1 210 32913106 32913052 35
1 210 32913052 32912975 18
1 210 32912975 32912951 5
1 211 32913095 32913104 22
1 211 32913104 32913585 18
1 211 32913585 207628357 33
1 211 207628357 90354602 45
1 212 90332394 201822507 27
1 212 201822507 31158786 31
1 212 31158786 32913098 47
1 213 32913098 32599711 37
1 213 32599711 32599709 38
1 213 32599709 32597783 26
1 213 32597783 31158772 3
1 213 31158772 31158774 13
1 214 31158774 34520361 15
1 214 34520361 34520360 14
1 214 34520360 34520359 14
1 214 34520359 34972118 16
1 214 34972118 34520358 11
1 214 34520358 34520357 12
1 214 34520357 34520356 13
1 214 34520356 34520355 13
1 214 34520355 34520354 16
1 214 34520354 34520353 17
1 214 34520353 34520352 17
1 214 34520352 32915600 19
1 215 32915599 34520364 14
1 215 34520364 34520365 15
1 215 34520365 34520366 16
1 215 34520366 34520367 18
1 215 34520367 34520368 17
1 215 34520368 34520369 19
1 215 34520369 34520370 20
1 215 34520370 251851938 20
1 215 251851938 34520371 30
1 215 34520371 34520372 30
1 215 34520372 34520373 29
1 215 34520373 34520363 29
1 216 31158727 32597785 20
1 216 32597785 32599710 21
1 216 32599710 32599712 16
1 216 32599712 31158787 4
1 217 32917759 247286415 21
1 217 247286415 247286412 20
1 217 247286412 224814459 23
1 217 224814459 247286409 26
1 217 247286409 224823500 25
1 217 224823500 119902566 7
1 217 119902566 224824507 0
1 217 224824507 224822165 0
1 217 224822165 226359888 2
1 217 226359888 119902613 0
1 218 119902613 226359888 0
1 218 226359888 224822165 21
1 218 224822165 224824507 9
1 218 224824507 119902566 9
1 218 119902566 224823500 9
1 218 224823500 247286409 24
1 218 247286409 224814459 27
1 218 224814459 247286412 32
1 218 247286412 247286415 30
1 218 247286415 32917759 31
1 219 251851727 32610174 21
1 219 32610174 251851449 19
1 219 251851449 32610173 33
1 220 35966359 32610173 8
1 220 32610173 251851490 18
1 220 251851490 32610175 8
1 220 32610175 251851557 9
1 220 251851557 32610172 10
1 220 32610172 212894117 10
1 221 255152548 251851753 29
1 221 251851753 251851754 19
1 221 251851754 32597423 19
1 221 32597423 251851726 21
1 222 34520363 254518067 21
1 222 254518067 32597778 21
1 222 32597778 255152548 21
1 223 28396139 251854095 11
1 223 251854095 251854094 11
1 223 251854094 251854093 11
1 223 251854093 28396140 11
1 223 28396140 35966369 10
1 224 35966365 251854034 18
1 224 251854034 251854288 19
1 224 251854288 31156833 17
1 224 31156833 255077893 19
1 224 255077893 31156834 19
1 225 35966368 28396165 18
1 225 28396165 35966367 21
1 226 35966366 28396143 15
1 226 28396143 34522516 14
1 227 34522516 28396145 6
1 227 28396145 254504851 6
1 227 254504851 251852498 12
1 227 251852498 28396167 14
1 227 28396167 252343347 15
1 227 252343347 28396170 14
1 227 28396170 35975945 14
1 227 35975945 251852331 20
1 227 251852331 31153919 22
1 227 31153919 28396142 22
